SEMANA,BOGOTA_PACIENTES,BOGOTA_FALLECIDOS,COLOMBIA_PACIENTES,COLOMBIA_FALLECIDOS,MES,ANIO
1,0,0,0,0,January,2020
2,0,0,0,0,January,2020
3,0,0,0,0,January,2020
4,0,0,0,0,January,2020
5,0,0,0,0,February,2020
6,0,0,0,0,February,2020
7,0,0,0,0,February,2020
8,0,0,0,0,February,2020
9,0,0,0,0,March,2020
10,1,0,1,0,March,2020
11,15,0,36,0,March,2020
12,68,2,175,5,March,2020
13,171,11,396,20,March,2020
14,425,32,798,55,April,2020
15,463,30,1303,112,April,2020
16,315,17,911,56,April,2020
17,671,19,1479,71,April,2020
18,701,29,2143,108,May,2020
19,1197,47,3252,136,May,2020
20,1259,29,4444,193,May,2020
21,1691,40,5238,207,May,2020
22,2669,73,8059,292,June,2020
23,2923,63,9792,397,June,2020
24,2885,83,10719,511,June,2020
25,4287,146,16891,904,June,2020
26,7342,240,22961,1047,July,2020
27,8157,281,24804,1202,July,2020
28,12239,447,31973,1422,July,2020
29,12885,516,45334,1746,July,2020
30,20777,788,50093,2094,August,2020
31,23445,831,65387,2432,August,2020
32,25583,753,70686,2332,August,2020
33,28421,657,79818,2516,August,2020
34,27379,561,76413,2275,August,2020
35,21297,410,66812,2115,August,2020
36,16130,330,58547,1619,September,2020
37,14764,253,50506,1311,September,2020
38,12150,249,49437,1246,September,2020
39,12464,204,47642,1245,September,2020
40,10499,162,42102,1027,October,2020
41,12823,217,54597,1266,October,2020
42,9272,192,49623,1197,October,2020
43,13054,211,55341,1313,October,2020
44,12960,179,66475,1375,November,2020
45,12163,236,62266,1347,November,2020
46,11985,211,54567,1158,November,2020
47,10852,206,49497,1184,November,2020
48,15523,218,59136,1339,December,2020
49,15260,225,62654,1371,December,2020
50,15711,245,54828,1226,December,2020
51,22768,376,78988,1761,December,2020
52,23857,422,88819,1944,December,2020
53,21339,478,57858,1585,January,2021
54,6105,143,23632,505,January,2021
55,36731,770,104963,2609,January,2021
56,37192,726,119697,2893,January,2021
57,36519,669,112011,2759,January,2021
58,23152,412,83714,2192,February,2021
59,19176,307,64405,1511,February,2021
60,10055,183,38891,964,February,2021
61,9738,134,31903,725,February,2021
62,7390,125,26116,611,February,2021
63,5533,86,25110,633,March,2021
64,5306,108,25837,753,March,2021
65,7012,126,32105,890,March,2021
66,6855,154,44404,1254,April,2021
67,10372,189,61606,1752,March,2021
68,13909,313,81518,2668,April,2021
69,26696,457,117361,3355,April,2021
70,30607,551,121193,3218,April,2021
71,30291,539,120473,2979,April,2021
72,32037,488,107794,2375,May,2021
73,36437,478,117797,1981,May,2021
74,33224,193,107453,839,May,2021
